home_type,posted,home_URL,home_status,home_price,home_address,home_zipcode,num_beds,num_baths,home_area
SINGLE_FAMILY,26,https://www.zillow.com/homedetails/78-Ronald-Ave-Staten-Island-NY-10303/32299181_zpid/,FOR_SALE,"$629,900","78 Ronald Ave, Staten Island, NY 10303",10303,3,2,1205
CONDO,152,https://www.zillow.com/homedetails/100-W-57th-St-17IH-New-York-NY-10019/72519078_zpid/,FOR_SALE,"$475,000","100 W 57th St #17IH, New York, NY 10019",10019,3,3,1800
CONDO,70,https://www.zillow.com/homedetails/212-E-Tremont-Ave-9-Bronx-NY-10457/2054481177_zpid/,FOR_SALE,"$275,000","212 E Tremont Ave #9, Bronx, NY 10457",10457,3,1,1100
MULTI_FAMILY,5,https://www.zillow.com/homedetails/6013-Huxley-Ave-Bronx-NY-10471/29853681_zpid/,FOR_SALE,"$649,000","6013 Huxley Avenue, Bronx, NY 10471",10471,4,2,
CONDO,56,https://www.zillow.com/homedetails/219-W-144th-St-APT-34-New-York-NY-10030/88061828_zpid/,FOR_SALE,"$275,000","219 W 144th St APT 34, New York, NY 10030",10030,3,1,0
SINGLE_FAMILY,13,https://www.zillow.com/homedetails/142-53-122nd-Ave-Jamaica-NY-11436/2062360990_zpid/,FOR_SALE,"$599,000","142-53 122nd Ave, Jamaica, NY 11436",11436,3,3,1100
CONDO,7,https://www.zillow.com/homedetails/100-W-57th-St-APT-10-N-New-York-NY-10019/80619971_zpid/,FOR_SALE,"$239,000","100 W 57th St APT 10-N, New York, NY 10019",10019,2,2,1200
SINGLE_FAMILY,6,https://www.zillow.com/homedetails/644-E-49th-St-Brooklyn-NY-11203/30655689_zpid/,FOR_SALE,"$179,000","644 E 49th Street, East Flatbush, NY 11203",11203,2,2,
SINGLE_FAMILY,146,https://www.zillow.com/homedetails/115-30-116th-St-South-Ozone-Park-NY-11420/2078094339_zpid/,FOR_SALE,"$274,000","115-30 116th St, South Ozone Park, NY 11420",11420,3,1,1556
MULTI_FAMILY,5,https://www.zillow.com/homedetails/6254-84th-Pl-Flushing-NY-11379/31995256_zpid/,FOR_SALE,"$873,800","62-54 84th Place, Middle Village, NY 11379",11379,4,3,1650
